一级指标编码,一级指标中文名称,二级指标编码,二级指标中文名称,三级指标编码,三级指标中文名称,四级指标编码,四级指标中文名称
A01,国民经济指标,A0110,价格指数,A011003,农产品生产价格指数(上年=100),A01100315,烟叶生产价格指数(上年价格=100)
A01,国民经济指标,A0110,价格指数,A011003,农产品生产价格指数(上年=100),A01100316,蔬菜生产价格指数(上年=100)
A01,国民经济指标,A0110,价格指数,A011003,农产品生产价格指数(上年=100),A01100317,水果生产价格指数(上年=100)
A01,国民经济指标,A0110,价格指数,A011003,农产品生产价格指数(上年=100),A01100318,茶叶生产价格指数(上年价格=100)
A01,国民经济指标,A0110,价格指数,A011003,农产品生产价格指数(上年=100),A01100319,林业产品生产价格指数(上年=100)
A01,国民经济指标,A0110,价格指数,A011003,农产品生产价格指数(上年=100),A01100320,畜牧业产品生产价格指数(上年=100)
A01,国民经济指标,A0110,价格指数,A011003,农产品生产价格指数(上年=100),A01100321,猪(毛重)生产价格指数(上年=100)
A01,国民经济指标,A0110,价格指数,A011003,农产品生产价格指数(上年=100),A01100322,牛(毛重)生产价格指数(上年=100)
A01,国民经济指标,A0110,价格指数,A011003,农产品生产价格指数(上年=100),A01100323,羊(毛重)生产价格指数(上年=100)
A01,国民经济指标,A0110,价格指数,A011003,农产品生产价格指数(上年=100),A01100324,家禽(毛重)生产价格指数(上年=100)
A01,国民经济指标,A0110,价格指数,A011003,农产品生产价格指数(上年=100),A01100325,蛋类生产价格指数(上年=100)
A01,国民经济指标,A0110,价格指数,A011003,农产品生产价格指数(上年=100),A01100326,奶类生产价格指数(上年=100)
A01,国民经济指标,A0110,价格指数,A011003,农产品生产价格指数(上年=100),A01100327,渔业产品生产价格指数(上年=100)
A01,国民经济指标,A0110,价格指数,A011003,农产品生产价格指数(上年=100),A01100328,海水养殖产品生产价格指数(上年=100)
A01,国民经济指标,A0110,价格指数,A011003,农产品生产价格指数(上年=100),A01100329,海水捕捞产品生产价格指数(上年=100)
A01,国民经济指标,A0110,价格指数,A011003,农产品生产价格指数(上年=100),A01100330,淡水养殖产品生产价格指数(上年=100)
A01,国民经济指标,A0110,价格指数,A011003,农产品生产价格指数(上年=100),A01100331,淡水捕捞产品生产价格指数(上年=100)
A01,国民经济指标,A0110,价格指数,A011003,农产品生产价格指数(上年=100),A01100332,种植业生产价格指数(上年价格=100)
A01,国民经济指标,A0110,价格指数,A011003,农产品生产价格指数(上年=100),A01100333,谷物生产价格指数(上年价格=100)
A01,国民经济指标,A0110,价格指数,A011003,农产品生产价格指数(上年=100),A01100334,小麦生产价格指数(上年价格=100)
A01,国民经济指标,A0110,价格指数,A011003,农产品生产价格指数(上年=100),A01100335,稻谷生产价格指数(上年价格=100)
A01,国民经济指标,A0110,价格指数,A011003,农产品生产价格指数(上年=100),A01100336,玉米生产价格指数(上年价格=100)
A01,国民经济指标,A0110,价格指数,A011003,农产品生产价格指数(上年=100),A01100337,大豆生产价格指数(上年价格=100)
A01,国民经济指标,A0110,价格指数,A011003,农产品生产价格指数(上年=100),A01100338,薯类生产价格指数(上年价格=100)
A01,国民经济指标,A0110,价格指数,A011003,农产品生产价格指数(上年=100),A01100339,油料生产价格指数(上年价格=100)
A01,国民经济指标,A0110,价格指数,A011003,农产品生产价格指数(上年=100),A01100340,棉花生产价格指数(上年价格=100)
A01,国民经济指标,A0110,价格指数,A011003,农产品生产价格指数(上年=100),A01100341,糖料生产价格指数(上年价格=100)
A01,国民经济指标,A0110,价格指数,A011003,农产品生产价格指数(上年=100),A01100342,蔬菜生产价格指数(上年价格=100)
A01,国民经济指标,A0110,价格指数,A011003,农产品生产价格指数(上年=100),A01100343,水果生产价格指数(上年价格=100)
A01,国民经济指标,A0110,价格指数,A011003,农产品生产价格指数(上年=100),A01100344,林产品生产价格指数(上年价格=100)
A01,国民经济指标,A0110,价格指数,A011003,农产品生产价格指数(上年=100),A01100345,畜产品生产价格指数(上年价格=100)
A01,国民经济指标,A0110,价格指数,A011003,农产品生产价格指数(上年=100),A01100346,猪生产价格指数(上年价格=100)
A01,国民经济指标,A0110,价格指数,A011003,农产品生产价格指数(上年=100),A01100347,家禽生产价格指数(上年价格=100)
A01,国民经济指标,A0110,价格指数,A011003,农产品生产价格指数(上年=100),A01100348,蛋类生产价格指数(上年价格=100)
A01,国民经济指标,A0110,价格指数,A011003,农产品生产价格指数(上年=100),A01100349,奶类生产价格指数(上年价格=100)
A01,国民经济指标,A0110,价格指数,A011003,农产品生产价格指数(上年=100),A01100350,渔业产品生产价格指数(上年价格=100)
A01,国民经济指标,A0110,价格指数,A011004,商品零售价格分类指数,A01100401,商品零售价格指数(上年同月=100)
A01,国民经济指标,A0110,价格指数,A011004,商品零售价格分类指数,A01100402,食品类商品零售价格指数(上年同月=100)
A01,国民经济指标,A0110,价格指数,A011004,商品零售价格分类指数,A01100403,饮料、烟酒类商品零售价格指数(上年同月=100)
A01,国民经济指标,A0110,价格指数,A011004,商品零售价格分类指数,A01100404,服装、鞋帽类商品零售价格指数(上年同月=100)
A01,国民经济指标,A0110,价格指数,A011004,商品零售价格分类指数,A01100405,纺织品类商品零售价格指数(上年同月=100)
A01,国民经济指标,A0110,价格指数,A011004,商品零售价格分类指数,A01100406,家用电器及音像器材类商品零售价格指数(上年同月=100)
A01,国民经济指标,A0110,价格指数,A011004,商品零售价格分类指数,A01100407,文化办公用品类商品零售价格指数(上年同月=100)
A01,国民经济指标,A0110,价格指数,A011004,商品零售价格分类指数,A01100408,日用品类商品零售价格指数(上年同月=100)
A01,国民经济指标,A0110,价格指数,A011004,商品零售价格分类指数,A01100409,体育娱乐用品类商品零售价格指数(上年同月=100)
A01,国民经济指标,A0110,价格指数,A011004,商品零售价格分类指数,A01100410,交通、通信用品类商品零售价格指数(上年同月=100)
A01,国民经济指标,A0110,价格指数,A011004,商品零售价格分类指数,A01100411,家具类商品零售价格指数(上年同月=100)
A01,国民经济指标,A0110,价格指数,A011004,商品零售价格分类指数,A01100412,化妆品类商品零售价格指数(上年同月=100)
A01,国民经济指标,A0110,价格指数,A011004,商品零售价格分类指数,A01100413,金银珠宝类商品零售价格指数(上年同月=100)
A01,国民经济指标,A0110,价格指数,A011004,商品零售价格分类指数,A01100414,中西药品及医疗保健用品类商品零售价格指数(上年同月=100)
A01,国民经济指标,A0110,价格指数,A011004,商品零售价格分类指数,A01100415,书报杂志及电子出版物类商品零售价格指数(上年同月=100)
A01,国民经济指标,A0110,价格指数,A011004,商品零售价格分类指数,A01100416,燃料类商品零售价格指数(上年同月=100)
A01,国民经济指标,A0110,价格指数,A011004,商品零售价格分类指数,A01100417,建筑材料及五金电料类商品零售价格指数(上年同月=100)
A01,国民经济指标,A0110,价格指数,A011005,固定资产投资价格指数_当季（上年同季=100）,A01100501,固定资产投资价格指数_当季值（上年同季=100）
A01,国民经济指标,A0110,价格指数,A011005,固定资产投资价格指数_当季（上年同季=100）,A01100502,设备、工器具购置价格指数_当季值（上年同季=100）
A01,国民经济指标,A0110,价格指数,A011005,固定资产投资价格指数_当季（上年同季=100）,A01100503,建筑、安装、装饰工程价格指数_当季值（上年同季=100）
A01,国民经济指标,A0110,价格指数,A011005,固定资产投资价格指数_当季（上年同季=100）,A01100504,人工费价格指数_当季值（上年同季=100）
A01,国民经济指标,A0110,价格指数,A011005,固定资产投资价格指数_当季（上年同季=100）,A01100505,材料费价格指数_当季值（上年同季=100）
A01,国民经济指标,A0110,价格指数,A011005,固定资产投资价格指数_当季（上年同季=100）,A01100506,钢材价格指数_当季值（上年同季=100）
A01,国民经济指标,A0110,价格指数,A011005,固定资产投资价格指数_当季（上年同季=100）,A01100507,木材价格指数_当季值（上年同季=100）
A01,国民经济指标,A0110,价格指数,A011005,固定资产投资价格指数_当季（上年同季=100）,A01100508,水泥价格指数_当季值（上年同季=100）
A01,国民经济指标,A0110,价格指数,A011005,固定资产投资价格指数_当季（上年同季=100）,A01100509,地方建筑材料价格指数_当季值（上年同季=100）
A01,国民经济指标,A0110,价格指数,A011005,固定资产投资价格指数_当季（上年同季=100）,A01100510,化工材料价格指数_当季值（上年同季=100）
A01,国民经济指标,A0110,价格指数,A011005,固定资产投资价格指数_当季（上年同季=100）,A01100511,电料价格指数_当季值（上年同季=100）
